page;category;subcategory;food;sighi_score;histamine_marker;other_amines_marker;liberator_marker;inhibitor_marker;uncertain_marker;other_marker;notes
4;Potraviny rostlinného původu;Zdroje škrobů;kukuřice sladká, klas;0;;;;;;;Těžko stravitelná.
4;Potraviny rostlinného původu;Zdroje škrobů;kukuřice sladká, z konzervy;0;;;;;;;Těžko stravitelná. Pravděpodobně nevhodná po dlouhém skladování či ve větším množství.
4;Potraviny rostlinného původu;Zdroje škrobů;kukuřice, sušená (mouka, kaše);0;;;;;;;
4;Potraviny rostlinného původu;Zdroje škrobů;kukuřičné lupínky;0;;;;;;!;Dávat si pozor na přítomnost sladu, kyseliny folové.
4;Potraviny rostlinného původu;Zdroje škrobů;laskavec;0;;;;;;;Může způsobovat průjmy u některých lidí. Jedná se o pseudoobilninu, nezaměňovat s barvivem amaranth.
4;Potraviny rostlinného původu;Zdroje škrobů;maltodextrin;0;;;;;;;
4;Potraviny rostlinného původu;Zdroje škrobů;oves;0;;;;;;;Některé odrůdy mohou být méně tolerovány (nadýmání).
4;Potraviny rostlinného původu;Zdroje škrobů;pečivo;1;;;;;histamin?;;Problémy často způsobené přítomností: sladu, jódu, fermentaci, přítomností ATIs (inhibitory amyláz/tryptáz) z obilnin.
4;Potraviny rostlinného původu;Zdroje škrobů;pohanka;2;;;;;"amines?; liberator?";;Nekompatibilní pouze neloupaná pohanka?
4;Potraviny rostlinného původu;Zdroje škrobů;proso;0;;;;;;;
4;Potraviny rostlinného původu;Zdroje škrobů;pšenice;1;;;;;"histamin?; liberator?";;Sporná. Nejčastěji zažívací potíže jako nadýmání.
4;Potraviny rostlinného původu;Zdroje škrobů;pšenice khorasan, kamut;0;;;;;;;Vybírejte původní staré odrůdy, moderní odrůdy mohou obsahovat více ATI (inhibitory amyláz/tryptáz)
4;Potraviny rostlinného původu;Zdroje škrobů;pšenice špalda;0;;;;;liberator?;;Vybírejte původní staré odrůdy, moderní odrůdy mohou obsahovat více ATI (inhibitory amyláz/tryptáz)
5;Potraviny rostlinného původu;Zdroje škrobů;ságo;0;;;;;;;
5;Potraviny rostlinného původu;Zdroje škrobů;škrobovitá moučka ságo;0;;;;;;;
5;Potraviny rostlinného původu;Zdroje škrobů;slad, slad ječný;2;;;;;"histamin?; amines?; liberator?";;
5;Potraviny rostlinného původu;Zdroje škrobů;sladké brambory (Povijnice batátová), batáty;0;;;;;;;
5;Potraviny rostlinného původu;Zdroje škrobů;slunečnicová semínka;2;;;L;;;;
5;Potraviny rostlinného původu;Zdroje škrobů;špalda;0;;;;;liberator?;;Vybírejte původní staré odrůdy, moderní odrůdy mohou obsahovat více ATI (inhibitory amyláz/tryptáz)
5;Potraviny rostlinného původu;Zdroje škrobů;žito;1;;;;;;;Špatně tolerováno.
5;Potraviny rostlinného původu;Ořechy;arašídy;2;;;;;;;
5;Potraviny rostlinného původu;Ořechy;chufa;0;;;;;;;Nejedná se o ořech, ale o hlízu.
5;Potraviny rostlinného původu;Ořechy;chufa, šáchor jedlý, zemní mandle: pražené;2;;;;;liberator?;;Nejedná se o ořech, ale o hlízu.
5;Potraviny rostlinného původu;Ořechy;kešu;1;;A;L;;;;
5;Potraviny rostlinného původu;Ořechy;lískové ořechy;1;;;L;;;;
5;Potraviny rostlinného původu;Ořechy;makademia ořechy;0;;;;;;;
5;Potraviny rostlinného původu;Ořechy;mandle;1;;;;;;;Malé množství dobře tolerováno. Může způsobovat problémy se spánkem.
5;Potraviny rostlinného původu;Ořechy;ořechy;3;;;;;;;Sporné. V závislosti na druhu.
5;Potraviny rostlinného původu;Ořechy;para ořechy;0;;;;;;;Max. 1-2 ks denně jako zdroj selenia.
5;Potraviny rostlinného původu;Ořechy;piniová semínka;1;;;;;liberator?;;Více druhů, některé mohou být hůře tolerovány?
5;Potraviny rostlinného původu;Ořechy;pistácie;0;;;;;;;
5;Potraviny rostlinného původu;Ořechy;šáchor jedlý;0;;;;;;;Nejedná se o ořech, ale o hlízu.
5;Potraviny rostlinného původu;Ořechy;šáchor jedlý, zemní mandle: pražené;2;;;;;liberator?;;Nejedná se o ořech, ale o hlízu.
5;Potraviny rostlinného původu;Ořechy;vlašské ořechy;3;;A;L;;;;
5;Potraviny rostlinného původu;Ořechy;zemní mandle;0;;;;;;;Nejedná se o ořech, ale o hlízu.
5;Potraviny rostlinného původu;Ořechy;zemní mandle, šáchor jedlý: pražené;2;;;;;liberator?;;Nejedná se o ořech, ale o hlízu.
5;Potraviny rostlinného původu;Tuky a oleje;kokosový olej;0;;;;;;;Velmi doporučovaný.
5;Potraviny rostlinného původu;Tuky a oleje;margarín (bez aditiv);0;;;;;;;Zkontrolovat možná aditiva.
5;Potraviny rostlinného původu;Tuky a oleje;olej dýňový;0;;;;;;;Za studena výraběný olej z pražených dýňových semínek.
5;Potraviny rostlinného původu;Tuky a oleje;olej kokosový;0;;;;;;;Velmi doporučovaný.
5;Potraviny rostlinného původu;Tuky a oleje;olej olivový;0;;;;;;;Nevhodné pro osoby se salicylátovou intolerancí.
5;Potraviny rostlinného původu;Tuky a oleje;olej palmový;0;;;;;;;Nedoporučován pro ekologický dopad, jinak je dobře tolerován.
5;Potraviny rostlinného původu;Tuky a oleje;olej řepkový;0;;;;;;;
5;Potraviny rostlinného původu;Tuky a oleje;olej slunečnicový;1;;;;;;;Jednorázově je bezproblémový, nedoporučován dlouhodobě pro jeho zánětlivé působení.
5;Potraviny rostlinného původu;Tuky a oleje;olej z černuchy seté (Nigella sativa);0;;;;;;;protilargický
5;Potraviny rostlinného původu;Tuky a oleje;olej z vlašských ořechů;2;;;;;liberator?;;
5;Potraviny rostlinného původu;Tuky a oleje;olej ze světlice;0;;;;;;;
5;Potraviny rostlinného původu;Zelenina;artyčoky;0;;;;;;;
5;Potraviny rostlinného původu;Zelenina;avokádo;2;H;;L;;;;
5;Potraviny rostlinného původu;Zelenina;bambusové výhonky;?;;;;;;;
5;Potraviny rostlinného původu;Zelenina;bob obecný;2;;;;;;;
5;Potraviny rostlinného původu;Zelenina;bok choi;0;;;;;;;
5;Potraviny rostlinného původu;Zelenina;brokolice;0;;;;;;;
5;Potraviny rostlinného původu;Zelenina;čajot;?;;;;;;;Pravděpodobně špatná tolerance.
5;Potraviny rostlinného původu;Zelenina;čekanka (Cichorium intybus);0;;;;;;;
5;Potraviny rostlinného původu;Zelenina;čekanka listová;0;;;;;;;
5;Potraviny rostlinného původu;Zelenina;celer;0;;;;;;;
5;Potraviny rostlinného původu;Zelenina;česnek;1;;;;;;;V menších dávkách po uvaření obvykle velmi dobře tolerován.
5;Potraviny rostlinného původu;Zelenina;chřest;0;;;;;;;
5;Potraviny rostlinného původu;Zelenina;cibule;1;;;L;;;;Nevhodná ve větších množství.
5;Potraviny rostlinného původu;Zelenina;cibule bílá;0;;;;;;;Jedná se o druh cibule.
5;Potraviny rostlinného původu;Zelenina;čili paprička, červená, čerstvá;2;;;;;liberator?;;Nedoporučováno pro možnou dráždivost.
5;Potraviny rostlinného původu;Zelenina;cizrna;2;;;;;;;
5;Potraviny rostlinného původu;Zelenina;čočka;2;;;;;;;
5;Potraviny rostlinného původu;Zelenina;cuketa;0;;;;;;;
5;Potraviny rostlinného původu;Zelenina;dýně (různé druhy);0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;hrách žlutý (sušený);1;;;;;;;
6;Potraviny rostlinného původu;Zelenina;hrášek;1;;;;;;;
6;Potraviny rostlinného původu;Zelenina;kapusta;1;;;;;liberator?;;
6;Potraviny rostlinného původu;Zelenina;kapusta růžičková;1;;;L;;;;
6;Potraviny rostlinného původu;Zelenina;kedluben;1;;;;;;;
6;Potraviny rostlinného původu;Zelenina;kelp (řasa);2;;;L;;;;např. jako ingredience bylinkových solí
6;Potraviny rostlinného původu;Zelenina;kopřiva;2;H;;;;"amines?; liberator?";;
6;Potraviny rostlinného původu;Zelenina;křen;1;;;L;;;;
6;Potraviny rostlinného původu;Zelenina;květák;0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;lilek;2;H;;;;"amines?; liberator?; inhibitor?";;
6;Potraviny rostlinného původu;Zelenina;luštěniny, strukoviny (sója, fazole, hrách, čočka);2;;A;L;;;;
6;Potraviny rostlinného původu;Zelenina;mangold;1;;;;;liberator?;;
6;Potraviny rostlinného původu;Zelenina;mrkev;0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;nakládaná zelenina;2;H;;;;amines?;;
6;Potraviny rostlinného původu;Zelenina;nakládané okurky;2;H;;;;amines?;;
6;Potraviny rostlinného původu;Zelenina;okurka;0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;olivy;2;;;;;"histamin?; amines?";;Obvykle fermentované, často s dalšími aditivy.
6;Potraviny rostlinného původu;Zelenina;pak choi;0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;paprika (pálivá);2;;;;;;;
6;Potraviny rostlinného původu;Zelenina;paprika (sladká);0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;pastinák;0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;pór;1;;;;;liberator?;;V malých dávkách obvykle velmi dobře tolerován.
6;Potraviny rostlinného původu;Zelenina;rajče;2;H;;L;;;;
6;Potraviny rostlinného původu;Zelenina;ředkvička bílá;0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;ředkvička červená;0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;řepa červená;0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;řeřicha (Lepidium sativum);?;;;;;liberator?;;
6;Potraviny rostlinného původu;Zelenina;rukola (Diplotaxis tenuifolia);2;;;L;;;;
6;Potraviny rostlinného původu;Zelenina;salát;0;;;;;;;Jedná se o rostlinu, ne hotový produkt.
6;Potraviny rostlinného původu;Zelenina;salát ledový;0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;salát polníček (kozlíček polní);0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;sója (sušená, sójová mouka);2;;;;;;;
6;Potraviny rostlinného původu;Zelenina;špenát;2;;;;;;;
6;Potraviny rostlinného původu;Zelenina;tykev;0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;vodnice;?;;;;;;;
6;Potraviny rostlinného původu;Zelenina;zelené fazolky;1;;;;;;;Někdy mohou být dobře tolerovány.
6;Potraviny rostlinného původu;Zelenina;zelenina nakládaná;2;H;;;;amines?;;
6;Potraviny rostlinného původu;Zelenina;zelí;0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;zelí bílé;0;;;;;;;
6;Potraviny rostlinného původu;Zelenina;zelí červené;0;;;;;liberator?;;
6;Potraviny rostlinného původu;Zelenina;zelí kvašené;3;H;;;;;;
6;Potraviny rostlinného původu;Zelenina;zelí nakládané;3;H;;;;;;
6;Potraviny rostlinného původu;Zelenina;zelí pekingské;0;;;;;;;
6;Potraviny rostlinného původu;Bylinky;bazalka;0;;;;;;;
6;Potraviny rostlinného původu;Bylinky;česnek medvědí;1;;;L;;;;Malé množství je velmi dobře tolerováno.
6;Potraviny rostlinného původu;Bylinky;kopr;1;;;;;;;Malé množství není obvykle problém, nevhodné při salicylátové intoleranci.
6;Potraviny rostlinného původu;Bylinky;máta;0;;;;;;;Nevhodné pro osoby se salicylátovou intolerancí.
6;Potraviny rostlinného původu;Bylinky;oregáno;0;;;;;;;
6;Potraviny rostlinného původu;Bylinky;pažitka;1;;;;;;;Nevhodné ve větším množství.
6;Potraviny rostlinného původu;Bylinky;petržel;0;;;;;;;
6;Potraviny rostlinného původu;Bylinky;pískavice (Trigonella caerulea);2;;;;;;;
6;Potraviny rostlinného původu;Bylinky;pískavice řecké seno (Trigonella foenum-graecum);2;;;;;;;
6;Potraviny rostlinného původu;Bylinky;rostliny rodu trigonella a trifolium;2;;;;;;;např. pískavice
6;Potraviny rostlinného původu;Bylinky;rozmarýn;0;;;;;;;
6;Potraviny rostlinného původu;Bylinky;šalvěj;0;;;;;;;
6;Potraviny rostlinného původu;Bylinky;saturejka;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;bez černý;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;borůvky;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;boysenberry, ostružinomaliník;?;;;;;;;
7;Potraviny rostlinného původu;Ovoce;broskev;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;brusinka kanadská, klikva;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;brusinka, brusnice brusinka;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;citrón;2;;A;L;;;;
7;Potraviny rostlinného původu;Ovoce;citrónová kůra;2;;;L;;amines?;;
7;Potraviny rostlinného původu;Ovoce;citrusy;2;;A;L;;;;
7;Potraviny rostlinného původu;Ovoce;datle (sušené);0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;fíky (čerstvé nebo sušené);1;;;;;;;Mohou mít mírné projímací účinky.
7;Potraviny rostlinného původu;Ovoce;goji;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;granátové jablko;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;grapefruit, grep;2;;A;L;;;;
7;Potraviny rostlinného původu;Ovoce;guave;2;;;;;liberator?;;
7;Potraviny rostlinného původu;Ovoce;hrozinky;0;;;;;;;Pokud nejsou sířené. Nevhodné při intoleranci salicylátů.
7;Potraviny rostlinného původu;Ovoce;hrozny;0;;;;;amines?;;
7;Potraviny rostlinného původu;Ovoce;hruška;1;;A;;;;;
7;Potraviny rostlinného původu;Ovoce;hruška nashi;?;;;;;amines?;;
7;Potraviny rostlinného původu;Ovoce;hruška, loupaná, naložená v sirupu;1;;A;;;;;
7;Potraviny rostlinného původu;Ovoce;jablko;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;jablko: golden delicious;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;jahoda;2;;A;L;;;;
7;Potraviny rostlinného původu;Ovoce;josta;0;;;;;;;Hybrid angreštu a černého rybízu.
7;Potraviny rostlinného původu;Ovoce;kakao, kakaový prášek (čokoláda atd.);2;;A;L;;;;
7;Potraviny rostlinného původu;Ovoce;kakaové máslo;0;;;;;amines?;;Převážně dobře tolerováno.
7;Potraviny rostlinného původu;Ovoce;kaki;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;karambola;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;kdoule;0;;;;;amines?;;
7;Potraviny rostlinného původu;Ovoce;kiwi;2;;;L;;amines?;;
7;Potraviny rostlinného původu;Ovoce;kokos, kokosové mléko;0;;;;;;;Dobrý zdroj selenu.
7;Potraviny rostlinného původu;Ovoce;kustovnice;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;liči;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;limetka;3;;A;L;;;;
7;Potraviny rostlinného původu;Ovoce;loganberry;?;;;;;;;
7;Potraviny rostlinného původu;Ovoce;maliny;2;;;;;;;
7;Potraviny rostlinného původu;Ovoce;mandarinka;2;;;;;;;
7;Potraviny rostlinného původu;Ovoce;mango;1;;;;;liberator?;;K diskuzi. Velmi často dobře tolerováno.
7;Potraviny rostlinného původu;Ovoce;marakuja;?;;;;;;;
7;Potraviny rostlinného původu;Ovoce;meloun (mimo vodního melounu);0;;;;;liberator?;;Podezření na možné liberační účinky (při přítomnosti postřiků na slupce?)
7;Potraviny rostlinného původu;Ovoce;meloun vodní;1;;;;;liberator?;;Podezření na liberační účinky (při přítomnosti postřiků na slupce?).
7;Potraviny rostlinného původu;Ovoce;meruňka;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;moruše;?;;;;;;;
7;Potraviny rostlinného původu;Ovoce;mučenka;?;;;;;;;
7;Potraviny rostlinného původu;Ovoce;muďoul, pawpaw;?;;;;;;;
7;Potraviny rostlinného původu;Ovoce;nektarinka;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;opuncie;?;;;;;;;Vyhněte se kontaktu kůže s trny.
7;Potraviny rostlinného původu;Ovoce;ostružina;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;papája;2;;A;L;;;;
7;Potraviny rostlinného původu;Ovoce;pitaya, dračí ovoce;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;pomeranč;3;;A;L;;;;
7;Potraviny rostlinného původu;Ovoce;pomerančová kůra;3;;;L;;amines?;;
7;Potraviny rostlinného původu;Ovoce;rakytník;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;rebarbora;1;;;;;;;Sporné. Velmi často dobře tolerované. Obsahuje oxaláty.
7;Potraviny rostlinného původu;Ovoce;rozinky;0;;;;;;;Pokud nejsou sířené. Nevhodné při intoleranci salicylátů.
7;Potraviny rostlinného původu;Ovoce;rybíz černý;0;;;;;;;
7;Potraviny rostlinného původu;Ovoce;rybíz červený;0;;;;;;;
8;Potraviny rostlinného původu;Ovoce;chia (Salvia hispanice);0;;;;;;;
8;Potraviny rostlinného původu;Ovoce;psyllium;0;;;;;;;Může být užitečné jak při průjmu, tak při zácpě.
8;Potraviny rostlinného původu;Ovoce;semínka dýňová;0;;;;;;;
8;Potraviny rostlinného původu;Ovoce;sezam;1;;;;;;;U někoho může vyvolávat průjem.
8;Potraviny rostlinného původu;Houby;hnědé řasy;3;;;L;;;;Extrémně bohaté na jód.
8;Potraviny rostlinného původu;Houby;houby;2;;;;;;;
8;Potraviny rostlinného původu;Houby;hřib smrkový;2;;;;;;;
8;Potraviny rostlinného původu;Houby;kelp;3;;;L;;;;Extrémně bohaté na jód.
8;Potraviny rostlinného původu;Houby;kvasnice (čerstvé, sušené);1;;;;;;;Dobře tolerováno, pokud jsou vyráběny za přísných hygienických podmínek. Netolerováno v pečivu (obzvláště při dlouhém kvašení). Vysoký obsah glutamátů.
8;Potraviny rostlinného původu;Houby;mořské řasy;3;;;L;;;;Extrémně bohaté na jód.
8;Potraviny rostlinného původu;Houby;smrž;2;;;;;;;
8;Potraviny rostlinného původu;Houby;wakame;3;;;L;;;;Extrémně bohaté na jód.
8;Potraviny rostlinného původu;Houby;wakame;3;;;L;;;;Extrémně bohaté na jód.
8;Potraviny rostlinného původu;Houby;žampiony;1;;A;;;;;
8;Potraviny rostlinného původu;Sladidla;agáve nektar, agáve sirup;0;;;;;;;Vysoký obsah fruktózy.
8;Potraviny rostlinného původu;Sladidla;březový cukr, xylitol, xylit, E967;0;;;;;;;
8;Potraviny rostlinného původu;Sladidla;cukr (řepný, třtinový);0;;;;;;;Používat pouze šetrně, omezit.
8;Potraviny rostlinného původu;Sladidla;dextróza;0;;;;;;;Glukózový sirup může obsahovat vysoký obsah fruktózy, glukóza je bez obsahu fruktózy.
